StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode

svcstr-7260cx3-acs-5,Ethernet5/1,svcstr-server-1,enp59s0f0,40000,,Trunk
svcstr-7260cx3-acs-5,Ethernet2/1,svcstr-server-2,enp59s0f1,40000,,Trunk
svcstr-7260cx3-acs-5,Ethernet3/1,svcstr-7260cx3-acs-1,Ethernet64/1,40000,"201-260",Trunk
svcstr-7260cx3-acs-5,Ethernet4/1,svcstr-7260cx3-acs-2,Ethernet64/1,40000,"261-264",Trunk
svcstr-n3164-acs-1,Ethernet1/1,svcstr-7260cx3-acs-1,Ethernet1/1,40000,201,Access
svcstr-n3164-acs-1,Ethernet1/2,svcstr-7260cx3-acs-1,Ethernet2/1,40000,202,Access
svcstr-n3164-acs-1,Ethernet1/3,svcstr-7260cx3-acs-1,Ethernet3/1,40000,203,Access
svcstr-n3164-acs-1,Ethernet1/4,svcstr-7260cx3-acs-1,Ethernet4/1,40000,204,Access
svcstr-n3164-acs-1,Ethernet1/5,svcstr-7260cx3-acs-1,Ethernet5/1,40000,205,Access
svcstr-n3164-acs-1,Ethernet1/6,svcstr-7260cx3-acs-1,Ethernet6/1,40000,206,Access
svcstr-n3164-acs-1,Ethernet1/7,svcstr-7260cx3-acs-1,Ethernet7/1,40000,207,Access
svcstr-n3164-acs-1,Ethernet1/8,svcstr-7260cx3-acs-1,Ethernet8/1,40000,208,Access
svcstr-n3164-acs-1,Ethernet1/9,svcstr-7260cx3-acs-1,Ethernet9/1,40000,209,Access
svcstr-n3164-acs-1,Ethernet1/10,svcstr-7260cx3-acs-1,Ethernet10/1,40000,210,Access
svcstr-n3164-acs-1,Ethernet1/11,svcstr-7260cx3-acs-1,Ethernet11/1,40000,211,Access
svcstr-n3164-acs-1,Ethernet1/12,svcstr-7260cx3-acs-1,Ethernet12/1,40000,212,Access
svcstr-n3164-acs-1,Ethernet1/13,svcstr-7260cx3-acs-1,Ethernet13/1,40000,213,Access
svcstr-n3164-acs-1,Ethernet1/14,svcstr-7260cx3-acs-1,Ethernet14/1,40000,214,Access
svcstr-n3164-acs-1,Ethernet1/15,svcstr-7260cx3-acs-1,Ethernet15/1,40000,215,Access
svcstr-n3164-acs-1,Ethernet1/16,svcstr-7260cx3-acs-1,Ethernet16/1,40000,216,Access
svcstr-n3164-acs-1,Ethernet1/17,svcstr-7260cx3-acs-1,Ethernet17/1,40000,217,Access
svcstr-n3164-acs-1,Ethernet1/18,svcstr-7260cx3-acs-1,Ethernet18/1,40000,218,Access
svcstr-n3164-acs-1,Ethernet1/19,svcstr-7260cx3-acs-1,Ethernet19/1,40000,219,Access
svcstr-n3164-acs-1,Ethernet1/20,svcstr-7260cx3-acs-1,Ethernet20/1,40000,220,Access
svcstr-n3164-acs-1,Ethernet1/21,svcstr-7260cx3-acs-1,Ethernet21/1,40000,221,Access
svcstr-n3164-acs-1,Ethernet1/22,svcstr-7260cx3-acs-1,Ethernet22/1,40000,222,Access
svcstr-n3164-acs-1,Ethernet1/23,svcstr-7260cx3-acs-1,Ethernet23/1,40000,223,Access
svcstr-n3164-acs-1,Ethernet1/24,svcstr-7260cx3-acs-1,Ethernet24/1,40000,224,Access
svcstr-n3164-acs-1,Ethernet1/25,svcstr-7260cx3-acs-1,Ethernet25/1,40000,225,Access
svcstr-n3164-acs-1,Ethernet1/26,svcstr-7260cx3-acs-1,Ethernet26/1,40000,226,Access
svcstr-n3164-acs-1,Ethernet1/27,svcstr-7260cx3-acs-1,Ethernet27/1,40000,227,Access
svcstr-n3164-acs-1,Ethernet1/28,svcstr-7260cx3-acs-1,Ethernet28/1,40000,228,Access
svcstr-n3164-acs-1,Ethernet1/29,svcstr-7260cx3-acs-1,Ethernet29/1,40000,229,Access
svcstr-n3164-acs-1,Ethernet1/30,svcstr-7260cx3-acs-1,Ethernet30/1,40000,230,Access
svcstr-n3164-acs-1,Ethernet1/31,svcstr-7260cx3-acs-1,Ethernet31/1,40000,231,Access
svcstr-n3164-acs-1,Ethernet1/32,svcstr-7260cx3-acs-1,Ethernet32/1,40000,232,Access
svcstr-n3164-acs-1,Ethernet1/33,svcstr-7260cx3-acs-1,Ethernet33/1,40000,233,Access
svcstr-n3164-acs-1,Ethernet1/34,svcstr-7260cx3-acs-1,Ethernet34/1,40000,234,Access
svcstr-n3164-acs-1,Ethernet1/35,svcstr-7260cx3-acs-1,Ethernet35/1,40000,235,Access
svcstr-n3164-acs-1,Ethernet1/36,svcstr-7260cx3-acs-1,Ethernet36/1,40000,236,Access
svcstr-n3164-acs-1,Ethernet1/37,svcstr-7260cx3-acs-1,Ethernet37/1,40000,237,Access
svcstr-n3164-acs-1,Ethernet1/38,svcstr-7260cx3-acs-1,Ethernet38/1,40000,238,Access
svcstr-n3164-acs-1,Ethernet1/39,svcstr-7260cx3-acs-1,Ethernet39/1,40000,239,Access
svcstr-n3164-acs-1,Ethernet1/40,svcstr-7260cx3-acs-1,Ethernet40/1,40000,240,Access
svcstr-n3164-acs-1,Ethernet1/41,svcstr-7260cx3-acs-1,Ethernet41/1,40000,241,Access
svcstr-n3164-acs-1,Ethernet1/42,svcstr-7260cx3-acs-1,Ethernet42/1,40000,242,Access
svcstr-n3164-acs-1,Ethernet1/43,svcstr-7260cx3-acs-1,Ethernet43/1,40000,243,Access
svcstr-n3164-acs-1,Ethernet1/44,svcstr-7260cx3-acs-1,Ethernet44/1,40000,244,Access
svcstr-n3164-acs-1,Ethernet1/45,svcstr-7260cx3-acs-1,Ethernet45/1,40000,245,Access
svcstr-n3164-acs-1,Ethernet1/46,svcstr-7260cx3-acs-1,Ethernet46/1,40000,246,Access
svcstr-n3164-acs-1,Ethernet1/47,svcstr-7260cx3-acs-1,Ethernet47/1,40000,247,Access
svcstr-n3164-acs-1,Ethernet1/48,svcstr-7260cx3-acs-1,Ethernet48/1,40000,248,Access
svcstr-n3164-acs-1,Ethernet1/49,svcstr-7260cx3-acs-1,Ethernet49/1,40000,249,Access
svcstr-n3164-acs-1,Ethernet1/50,svcstr-7260cx3-acs-1,Ethernet50/1,40000,250,Access
svcstr-n3164-acs-1,Ethernet1/51,svcstr-7260cx3-acs-1,Ethernet51/1,40000,251,Access
svcstr-n3164-acs-1,Ethernet1/52,svcstr-7260cx3-acs-1,Ethernet52/1,40000,252,Access
svcstr-n3164-acs-1,Ethernet1/53,svcstr-7260cx3-acs-1,Ethernet53/1,40000,253,Access
svcstr-n3164-acs-1,Ethernet1/54,svcstr-7260cx3-acs-1,Ethernet54/1,40000,254,Access
svcstr-n3164-acs-1,Ethernet1/55,svcstr-7260cx3-acs-1,Ethernet55/1,40000,255,Access
svcstr-n3164-acs-1,Ethernet1/56,svcstr-7260cx3-acs-1,Ethernet56/1,40000,256,Access
svcstr-n3164-acs-1,Ethernet1/57,svcstr-7260cx3-acs-1,Ethernet57/1,40000,257,Access
svcstr-n3164-acs-1,Ethernet1/58,svcstr-7260cx3-acs-1,Ethernet58/1,40000,258,Access
