StartDevice,StartPort,EndDevice,EndPort
pdu-116,4,str3-7260cx3-acs-root03,PSU1
pdu-115,4,str3-7260cx3-acs-root03,PSU2
pdu-118,9,str3-acs-serv-61,PSU1
pdu-90,6,str3-7260cx3-acs-fan-01,PSU1
pdu-91,6,str3-7260cx3-acs-fan-01,PSU2
pdu-90,11,str3-7260cx3-acs-fan-02,PSU1
pdu-91,11,str3-7260cx3-acs-fan-02,PSU2
pdu-90,3,str3-7260cx3-acs-fan-03,PSU1
pdu-91,3,str3-7260cx3-acs-fan-03,PSU2
pdu-122,37,str3-7260cx3-acs-fan-04,PSU1
pdu-123,37,str3-7260cx3-acs-fan-04,PSU2
pdu-91,11,str3-a7060dx5-acs-1,PSU1
pdu-89,11,str3-a7060dx5-acs-1,PSU2
pdu-123,44,str3-8102-01,PSU1
pdu-123,46,str3-8102-01,PSU2
pdu-90,7,str3-8102-05,PSU1
pdu-91,7,str3-8102-05,PSU2
pdu-90,4,str3-8102-06,PSU1
pdu-91,4,str3-8102-06,PSU2
pdu-90,17,str3-8101-01,PSU1
pdu-92,22,str3-8101-01,PSU2
pdu-90,18,str3-8101-02,PSU1
pdu-92,19,str3-8101-02,PSU2
pdu-90,23,str3-8101-fanout-01,PSU1
pdu-92,23,str3-8101-fanout-01,PSU2
pdu-90,21,str3-8101-fanout-02,PSU1
pdu-92,21,str3-8101-fanout-02,PSU2
pdu-90,20,str3-8101-fanout-03,PSU1
pdu-92,20,str3-8101-fanout-03,PSU2
pdu-88,7,str3-8101-fanout-04,PSU1
pdu-89,7,str3-8101-fanout-04,PSU2
pdu-86,6,str3-7808-sup-1,PSU1
pdu-86,10,str3-7808-sup-1,PSU2
pdu-86,20,str3-7808-sup-1,PSU3
pdu-90,8,str3-7808-sup-1,PSU4
pdu-90,16,str3-7808-sup-1,PSU5
pdu-90,24,str3-7808-sup-1,PSU6
pdu-89,8,str3-7808-sup-1,PSU7
pdu-89,16,str3-7808-sup-1,PSU8
pdu-89,24,str3-7808-sup-1,PSU9
pdu-88,8,str3-7808-sup-1,PSU10
pdu-88,16,str3-7808-sup-1,PSU11
pdu-88,24,str3-7808-sup-1,PSU12
