StartDevice,StartPort,EndDevice,EndPort
bjw3-can-720dt-mc0-1,etp1,bjw3-can-7050c-5,eth0
bjw3-can-720dt-mc0-1,etp2,bjw3-can-7050-leaf-1,eth0
bjw3-can-720dt-mc0-1,etp3,bjw3-can-7050c-6,eth0
bjw3-can-720dt-mc0-1,etp4,bjw3-can-7050-leaf-2,eth0
bjw3-can-720dt-mc0-1,etp5,bjw3-can-7050c-7,eth0
bjw3-can-720dt-mc0-1,etp6,bjw3-can-7050-leaf-3,eth0
bjw3-can-720dt-mc0-1,etp7,bjw3-can-7050c-8,eth0
bjw3-can-720dt-mc0-1,etp8,bjw3-can-7050-leaf-4,eth0
bjw3-can-720dt-mc0-1,etp9,bjw3-can-7050c-9,eth0
bjw3-can-720dt-mc0-1,etp10,bjw3-can-7050-leaf-5,eth0
bjw3-can-720dt-mc0-1,etp11,bjw3-can-7050c-10,eth0
bjw3-can-720dt-mc0-1,etp12,bjw3-can-7050-leaf-6,eth0
bjw3-can-720dt-mc0-2,etp1,bjw3-can-serv-1,eno1
bjw3-can-720dt-mc0-2,etp3,bjw3-can-serv-2,eno1
bjw3-can-720dt-mc0-2,etp5,bjw3-can-serv-3,eno1
bjw3-can-720dt-mc0-2,etp7,bjw3-can-serv-4,eno1
bjw3-can-720dt-mc0-2,etp9,bjw3-can-serv-5,eno1
bjw3-can-720dt-mc0-2,etp11,bjw3-can-7260-root-1,eth0
bjw3-can-720dt-mc0-2,etp12,bjw3-can-7260-leaf-25,eth0
bjw3-can-720dt-mc0-2,etp13,bjw3-can-7215a1d-1,eth0
bjw3-can-720dt-mc0-2,etp14,bjw3-can-7215a1d-leaf-1,eth0
bjw3-can-720dt-mc0-2,etp15,bjw3-can-7215a1d-2,eth0
bjw3-can-720dt-mc0-2,etp16,bjw3-can-7215a1d-leaf-2,eth0
bjw3-can-720dt-mc0-2,etp17,bjw3-can-serv-6,eno1
bjw3-can-720dt-mc0-2,etp19,bjw3-can-serv-7,eno1
bjw3-can-720dt-mc0-2,etp21,bjw3-can-serv-8,eno1
bjw3-can-720dt-mc0-2,etp23,bjw3-can-7060-1,eth0
bjw3-can-720dt-mc0-2,etp24,bjw3-can-7260-leaf-26,eth0
bjw3-can-720dt-mc0-2,etp25,bjw3-can-7060-2,eth0
bjw3-can-720dt-mc0-2,etp26,bjw3-can-7060-3,eth0
bjw3-can-720dt-mc0-2,etp27,bjw3-can-7260-leaf-27,eth0
bjw3-can-720dt-mc0-2,etp28,bjw3-can-7060-4,eth0
bjw3-can-720dt-mc0-2,etp29,bjw3-can-7060-5,eth0
bjw3-can-720dt-mc0-2,etp30,bjw3-can-7260-leaf-28,eth0
bjw3-can-720dt-mc0-2,etp31,bjw3-can-7060-6,eth0
bjw3-can-720dt-mc0-2,etp32,bjw3-can-7060-7,eth0
bjw3-can-720dt-mc0-2,etp33,bjw3-can-7260-leaf-29,eth0
bjw3-can-720dt-mc0-2,etp34,bjw3-can-7060-8,eth0
bjw3-can-720dt-mc0-2,etp35,bjw3-can-serv-9,eno1
bjw3-can-720dt-mc0-2,etp50,bjw3-can-720dt-mc0-1,etp49
bjw3-can-720dt-mc0-2,etp51,bjw3-can-720dt-mc0-3,etp49
bjw3-can-720dt-mc0-3,etp1,bjw3-can-7260-13,eth0
bjw3-can-720dt-mc0-3,etp2,bjw3-can-7260-leaf-34,eth0
bjw3-can-720dt-mc0-3,etp3,bjw3-can-7260-14,eth0
bjw3-can-720dt-mc0-3,etp4,bjw3-can-7260-leaf-35,eth0
bjw3-can-720dt-mc0-3,etp5,bjw3-can-7260-15,eth0
bjw3-can-720dt-mc0-3,etp6,bjw3-can-7260-leaf-36,eth0
bjw3-can-720dt-mc0-3,etp7,bjw3-can-7260-16,eth0
bjw3-can-720dt-mc0-3,etp8,bjw3-can-7260-leaf-37,eth0
bjw3-can-720dt-mc0-3,etp9,bjw3-can-ocs64-1,eth0
bjw3-can-720dt-mc0-3,etp10,bjw3-can-7060x64-leaf-1,eth0
bjw3-can-720dt-mc0-3,etp11,bjw3-can-ocs64-1,eth0
bjw3-can-720dt-mc0-3,etp12,bjw3-can-7260-leaf-39,eth0
bjw3-can-720dt-mc0-3,etp13,bjw3-can-7260-leaf-40,eth0
bjw3-can-720dt-mc0-3,etp14,bjw3-can-7260-leaf-41,eth0
bjw3-can-720dt-mc0-3,etp15,bjw3-can-7260-leaf-42,eth0
bjw3-can-720dt-mc0-3,etp16,bjw3-can-7050c-11,eth0
