Hostname,ManagementIp,HwSku,Type,Protocol,Os
str5-7060x6-pe64-root,10.64.247.160/23,Arista-7060X6-64PE,FanoutRoot,,
str5-7260cx3-acs-root,10.64.247.161/23,Arista-7260CX3-64,FanoutRoot,,
str5-acs-serv-91,10.64.247.191/23,TestServ,Server,,
str5-acs-serv-92,10.64.247.192/23,TestServ,Server,,
str5-acs-serv-93,10.64.247.193/23,TestServ,Server,,
str5-acs-serv-94,10.64.247.194/23,TestServ,Server,,
str5-acs-serv-95,10.64.247.195/23,TestServ,Server,,
str5-acs-serv-96,10.64.247.196/23,TestServ,Server,,
str5-acs-serv-97,10.64.247.197/23,TestServ,Server,,
str5-7060x6-64pe-shared-fan-1,10.64.247.25/23,Arista-7060X6-64PE-C256S2,FanoutLeafSonic,,sonic
str5-7060x6-512-3,10.64.247.131/23,Arista-7060X6-64PE-B-C512S2,DevSonic,,sonic
str5-7060x6-512-fan-3,10.64.247.132/23,Arista-7060X6-64PE-B-C512S2,FanoutLeafSonic,,sonic
str5-7060x6-512-4,10.64.247.133/23,Arista-7060X6-64PE-B-O128,DevSonic,,sonic
str5-7060x6-512-fan-4,10.64.247.134/23,Arista-7060X6-64PE-B-O128,FanoutLeafSonic,,sonic
str5-7060x6-512-5,10.64.247.135/23,Arista-7060X6-64PE-B-C512S2,DevSonic,,sonic
str5-7060x6-512-fan-5,10.64.247.136/23,Arista-7060X6-64PE-B-C512S2,FanoutLeafSonic,,sonic
str5-7060x6-512-6,10.64.247.146/23,Arista-7060X6-64PE-B-O128,DevSonic,,sonic
str5-7060x6-512-fan-6,10.64.247.147/23,Arista-7060X6-64PE-B-O128,FanoutLeafSonic,,sonic
str5-7060x6-512-7,10.64.246.205/23,Arista-7060X6-64PE-B-C448O16,DevSonic,,sonic
str5-7060x6-512-fan-7,10.64.246.206/23,Arista-7060X6-64PE-B-C448O16,FanoutLeafSonic,,sonic
str5-7060x6-512-8,10.64.247.172/23,Arista-7060X6-64PE-B-C512S2,DevSonic,,sonic
str5-7060x6-512-fan-8,10.64.247.173/23,Arista-7060X6-64PE-B-C512S2,FanoutLeafSonic,,sonic
str5-7060x6-moby-512-1,10.64.247.154/23,Arista-7060X6-16PE-384C-O128S2,DevSonic,,sonic
str5-7060x6-moby-512-fan-1,10.64.247.155/23,Arista-7060X6-16PE-384C-B-O128S2-FANOUT,FanoutLeafSonic,,sonic
str5-7060x6-moby-512-2,10.64.247.158/23,Arista-7060X6-16PE-384C-B-O128S2,DevSonic,,sonic
str5-7060x6-moby-512-fan-2,10.64.247.159/23,Arista-7060X6-16PE-384C-B-O128S2-FANOUT,FanoutLeafSonic,,sonic
str5-7060x6-moby-512-3,10.64.247.162/23,Arista-7060X6-16PE-384C-B-O128S2,DevSonic,,sonic
str5-7060x6-moby-512-fan-3,10.64.247.166/23,Arista-7060X6-16PE-384C-B-O128S2-FANOUT,FanoutLeafSonic,,sonic
str5-sn5640-1,10.64.247.137/23,Mellanox-SN5640-C512S2,DevSonic,,sonic
str5-sn5640-fan-1,10.64.247.138/23,Mellanox-SN5640-C512S2,FanoutLeafSonic,,sonic
str5-sn5640-2,10.64.246.74/23,Mellanox-SN5640-C512S2,DevSonic,,sonic
str5-sn5640-fan-2,10.64.246.77/23,Mellanox-SN5640-C512S2,FanoutLeafSonic,,sonic
str5-sn5640-3,10.64.247.164/23,Mellanox-SN5640-C512S2,DevSonic,,sonic
str5-sn5640-fan-3,10.64.247.165/23,Mellanox-SN5640-C512S2,FanoutLeafSonic,,sonic
str5-sn5640-4,10.64.246.35/23,Mellanox-SN5640-C448O16,DevSonic,,sonic
str5-sn5640-fan-4,10.64.246.169/23,Mellanox-SN5640-C448O16,FanoutLeafSonic,,sonic
str5-sn5640-5,10.64.247.169/23,Mellanox-SN5640-C448O16,DevSonic,,sonic
str5-sn5640-fan-5,10.64.247.170/23,Mellanox-SN5640-C448O16,FanoutLeafSonic,,sonic
str5-sn5640-6,10.64.246.33/23,Mellanox-SN5640-C512S2,DevSonic,,sonic
str5-sn5640-fan-6,10.64.246.32/23,Mellanox-SN5640-C512S2,FanoutLeafSonic,,sonic
str5-7260cx3-acs-fan-20,10.3.155.81/26,Arista-7260CX3,FanoutLeaf,,
str5-7260cx3-acs-fan-21,10.3.155.82/26,Arista-7260CX3,FanoutLeaf,,
str5-z9332f-01,10.3.155.83/26,DellEMC-Z9332f-O32,FanoutLeafSonic,,sonic
str5-z9332f-02,10.3.155.84/26,DellEMC-Z9332f-O32,FanoutLeafSonic,,sonic
str5-7280dr3-2,10.3.155.69/26,Arista-7280DR3AM-36,DevSonic,,sonic
str5-7280dr3-3,10.3.155.70/26,Arista-7280DR3AM-36,DevSonic,,sonic
pdu-83,10.3.154.83,ApcRPDU,Pdu,snmp,
pdu-85,10.3.154.84,ApcRPDU,Pdu,snmp,
pdu-86,10.3.154.85,ApcRPDU,Pdu,snmp,
pdu-88,10.3.154.86,Sentry,Pdu,snmp,
pdu-89,10.3.154.87,ApcRPDU,Pdu,snmp,
pdu-90,10.3.154.88,ApcRPDU,Pdu,snmp,
pdu-91,10.3.154.89,ApcRPDU,Pdu,snmp,
pdu-92,10.3.154.90,ApcRPDU,Pdu,snmp,
pdu-93,10.3.154.91,ApcRPDU,Pdu,snmp,
pdu-94,10.3.154.92,Sentry,Pdu,snmp,
pdu-95,10.3.154.93,Sentry,Pdu,snmp,
pdu-96,10.3.155.96,Sentry,Pdu,snmp,
pdu-97,10.3.154.98,Sentry,Pdu,snmp,
pdu-98,10.3.154.99,Sentry,Pdu,snmp,
pdu-99,10.3.154.100,Sentry4,Pdu,snmp,
pdu-100,10.3.154.101,Sentry4,Pdu,snmp,
pdu-101,10.3.154.102,Sentry4,Pdu,snmp,
pdu-102,10.3.154.103,Sentry4,Pdu,snmp,
pdu-103,10.3.154.104,Sentry4,Pdu,snmp,
pdu-105,10.3.154.106,Sentry4,Pdu,snmp,
pdu-106,10.3.154.107,Sentry4,Pdu,snmp,
pdu-107,10.3.154.108,Sentry4,Pdu,snmp,
pdu-108,10.3.154.109,Sentry4,Pdu,snmp,
pdu-115,10.3.154.116,Sentry,Pdu,snmp,
pdu-116,10.3.154.117,Sentry,Pdu,snmp,
pdu-117,10.3.154.118,Sentry,Pdu,snmp,
pdu-118,10.3.154.119,Sentry,Pdu,snmp,
pdu-122,10.3.154.123,Sentry,Pdu,snmp,
pdu-123,10.3.154.124,Sentry,Pdu,snmp,
pdu-119,10.3.154.120,Sentry4,Pdu,snmp,
pdu-120,10.3.154.121,Sentry4,Pdu,snmp,
pdu-124,10.3.154.125,Sentry4,Pdu,snmp,
pdu-125,10.3.154.126,Sentry4,Pdu,snmp,
pdu-126,10.3.154.133,Sentry4,Pdu,snmp,
pdu-127,10.3.154.134,Sentry4,Pdu,snmp,
pdu-131,10.3.155.126,Sentry4,Pdu,snmp,
pdu-129,10.3.155.127,Sentry4,Pdu,snmp,
console-80,10.3.145.80,Cisco,ConsoleServer,ssh,
console-81,10.3.145.81,Cisco,ConsoleServer,ssh,
console-178,10.3.145.178,Cisco,ConsoleServer,ssh,
console-179,10.3.145.179,Cisco,ConsoleServer,ssh,
console-182,10.3.145.182,Cisco,ConsoleServer,ssh,
console-184,10.3.145.184,Cisco,ConsoleServer,ssh,
console-194,10.3.145.194,Cisco,ConsoleServer,ssh,
